交易標的,土地移轉總面積平方公尺,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯,真實單價(元/平方公尺),交易年,交易月,建築完成年,屋齡,移轉層次_num,總樓層數_num,是否為頂樓,土地筆數,建物棟數,車位數,鄉鎮市區_中區,鄉鎮市區_北區,鄉鎮市區_北屯區,鄉鎮市區_南區,鄉鎮市區_南屯區,鄉鎮市區_后里區,鄉鎮市區_外埔區,鄉鎮市區_大安區,鄉鎮市區_大甲區,鄉鎮市區_大肚區,鄉鎮市區_大里區,鄉鎮市區_大雅區,鄉鎮市區_太平區,鄉鎮市區_新社區,鄉鎮市區_東勢區,鄉鎮市區_東區,鄉鎮市區_梧棲區,鄉鎮市區_沙鹿區,鄉鎮市區_清水區,鄉鎮市區_潭子區,鄉鎮市區_烏日區,鄉鎮市區_石岡區,鄉鎮市區_神岡區,鄉鎮市區_西區,鄉鎮市區_西屯區,鄉鎮市區_豐原區,鄉鎮市區_霧峰區,鄉鎮市區_龍井區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_其他,建物型態_華廈(10層含以下有電梯),建物型態_透天厝,主要用途_住商用,主要用途_住家用,主要用途_其他,主要用途_商業用,主要用途_辦公用,主要建材_其他,主要建材_加強磚造,主要建材_鋼筋混凝土造,主要建材_鋼骨鋼筋混凝土造、鋼筋混凝土造,車位類別_一樓平面,車位類別_其他,車位類別_升降平面,車位類別_升降機械,車位類別_坡道平面,車位類別_坡道機械,車位類別_塔式車位,使用分區_一般農業區,使用分區_住,使用分區_其他,使用分區_商,使用分區_山坡地保育區,使用分區_工,使用分區_工業區,使用分區_特定農業區,使用分區_農,使用分區_都市：其他:住宅區,使用分區_都市：其他:保護區,使用分區_都市：其他:第一之二種住宅區,使用分區_都市：其他:第一種新市政中心專用區,使用分區_都市：其他:第三種新市政中心專用區,使用分區_都市：其他:第三種遊憩區,使用分區_都市：其他:第二種住宅區,使用分區_都市：其他:第二種創新研發專用區,使用分區_都市：其他:第五種新市政中心專用區,使用分區_都市：其他:第八種新市政中心專用區,使用分區_都市：其他:第六種新市政中心專用區,使用分區_都市：其他:第四種新市政中心專用區,使用分區_都市：其他:道路用地,使用分區_都市：其他:風景區,使用分區_鄉村區,Income_Median,Higher_Ed_Ratio,id,Address,Response_Address,Response_X,Response_Y
房地(土地+建物),5.99,36.92,1,1,1,1,1,3200000.0,86674,0.0,0.0,22.78,0.0,3.04,1,86673.8894907909,2025,9,1991.0,34.0,4.0,12.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,60.23570226008877,907.0,臺中市清水區榔一街１５６號,找不到指定的門牌地址。,,
房地(土地+建物),64.97,120.18,3,2,3,1,0,7900000.0,65735,0.0,0.0,120.18,0.0,0.0,0,65734.7312364786,2025,9,1985.0,40.0,3.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,36.5107057890563,933.0,臺中市南屯區市政南一路３２３號,找不到指定的門牌地址。,,
房地(土地+建物)+車位,12.16,97.1,3,2,2,1,1,7900000.0,81359,0.0,500000.0,72.44,0.0,7.62,1,76210.09268795057,2025,9,1994.0,31.0,13.0,13.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,49.24978725310162,943.0,臺中市北區前路１９號,找不到指定的門牌地址。,,
房地(土地+建物)+車位,11.8,140.73000000000002,2,2,2,1,1,15100000.0,107298,27.23,0.0,64.66,4.53,7.36,1,133039.6475770925,2025,9,2013.0,12.0,19.0,22.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,56.37375658101005,995.0,臺中市東區進德路３６１號,找不到指定的門牌地址。,,
房地(土地+建物),32.3,110.79,2,2,2,1,0,6500000.0,58670,0.0,0.0,77.66,0.0,12.84,0,58669.55501399044,2025,9,1992.0,33.0,3.0,5.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,62.03686804161344,1002.0,臺中市太平區大興二十二街３５巷１弄１號,找不到指定的門牌地址。,,
房地(土地+建物)+車位,9.81,105.99,2,2,1,1,1,9000000.0,84906,0.0,0.0,65.73,0.0,6.78,1,84913.67110104726,2025,9,1996.0,29.0,16.0,16.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,56.37375658101005,1132.0,臺中市東區自強街２４巷２６一１號,找不到指定的門牌地址。,,
房地(土地+建物)+車位,21.48,121.16,2,2,2,1,1,18300000.0,151040,34.63,0.0,50.84,0.0,5.35,1,211487.3454293309,2025,9,2022.0,3.0,8.0,9.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,517,60.23570226008877,1304.0,臺中市太平區太平二十八街３號,找不到指定的門牌地址。,,
房地(土地+建物),34.63,55.79,0,0,0,0,0,5000000.0,89622,0.0,0.0,55.79,0.0,0.0,0,89621.79602079226,2025,9,1974.0,51.0,2.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,46.714188559482125,1305.0,臺中市中區綠川東街陸捌號,找不到指定的門牌地址。,,
房地(土地+建物)+車位,19.84,111.04,3,2,2,1,1,9380000.0,84474,0.0,0.0,72.21,0.0,8.36,1,84474.06340057637,2025,9,1993.0,32.0,7.0,7.0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,61.22058853435829,1383.0,臺中市西屯區富強巷１弄１９號,找不到指定的門牌地址。,,
房地(土地+建物)+車位,35.6,230.16,3,2,3,1,1,24380000.0,135288,78.04,3800000.0,89.66,0.0,8.86,1,135287.93058112022,2025,9,2024.0,1.0,9.0,12.0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,56.37375658101005,1428.0,臺中市南區南平路３３８巷８號,找不到指定的門牌地址。,,
